54.248.176.185 - - [26/Jan/2024:00:10:52 +0000] "OPTIONS * HTTP/1.1" 200 -
65.154.226.170 - - [26/Jan/2024:00:11:35 +0000] "GET / HTTP/1.1" 200 3979
139.162.84.205 - - [26/Jan/2024:00:38:44 +0000] "GET / HTTP/1.0" 200 3979
198.235.24.39 - - [26/Jan/2024:00:44:57 +0000] "-" 400 2197
198.235.24.39 - - [26/Jan/2024:00:44:57 +0000] "-" 400 3395
205.210.31.21 - - [26/Jan/2024:00:45:14 +0000] "GET / HTTP/1.1" 200 3979
78.108.177.50 - - [26/Jan/2024:00:53:40 +0000] "GET / HTTP/1.0" 200 3979
185.254.196.173 - - [26/Jan/2024:01:05:15 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.173 - - [26/Jan/2024:01:05:16 +0000] "POST / HTTP/1.1" 200 3979
183.196.214.38 - - [26/Jan/2024:01:10:08 +0000] "POST /template/aui/text-inline.vm HTTP/1.1" 404 786
94.102.61.10 - - [26/Jan/2024:01:12:26 +0000] "GET / HTTP/1.1" 200 3979
205.210.31.35 - - [26/Jan/2024:01:16:00 +0000] "-" 400 2211
205.210.31.35 - - [26/Jan/2024:01:16:01 +0000] "-" 400 3417
135.125.246.110 - - [26/Jan/2024:01:19:30 +0000] "GET /.env HTTP/1.1" 404 755
135.125.246.110 - - [26/Jan/2024:01:19:31 +0000] "POST / HTTP/1.1" 200 3979
60.235.233.170 - - [26/Jan/2024:01:26:12 +0000] "POST /template/aui/text-inline.vm HTTP/1.1" 404 786
202.79.171.107 - - [26/Jan/2024:01:36:37 +0000] "POST /template/aui/text-inline.vm HTTP/1.1" 404 786
198.235.24.194 - - [26/Jan/2024:02:11:12 +0000] "GET / HTTP/1.0" 200 3979
192.241.210.64 - - [26/Jan/2024:02:20:19 +0000] "GET /portal/redlion HTTP/1.1" 404 769
185.254.196.186 - - [26/Jan/2024:02:40:06 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.186 - - [26/Jan/2024:02:40:08 +0000] "POST / HTTP/1.1" 200 3979
158.220.112.81 - - [26/Jan/2024:02:57:54 +0000] "GET / HTTP/1.1" 200 3979
159.89.224.140 - - [26/Jan/2024:03:20:20 +0000] "-" 400 2857
159.89.224.140 - - [26/Jan/2024:03:20:20 +0000] "-" 400 2873
159.89.224.140 - - [26/Jan/2024:03:20:20 +0000] "GET / HTTP/1.1" 200 3979
159.89.224.140 - - [26/Jan/2024:03:20:21 +0000] "-" 400 2869
135.125.246.110 - - [26/Jan/2024:03:22:26 +0000] "GET /.env HTTP/1.1" 404 755
135.125.246.110 - - [26/Jan/2024:03:22:26 +0000] "POST / HTTP/1.1" 200 3979
78.153.140.177 - - [26/Jan/2024:03:29:37 +0000] "GET /.env HTTP/1.1" 404 755
78.153.140.177 - - [26/Jan/2024:03:29:37 +0000] "-" 400 2171
172.105.128.11 - - [26/Jan/2024:03:43:26 +0000] "-" 400 2227
107.170.234.16 - - [26/Jan/2024:03:49:30 +0000] "-" 400 1977
198.235.24.232 - - [26/Jan/2024:03:58:33 +0000] "-" 400 2205
198.235.24.232 - - [26/Jan/2024:03:58:34 +0000] "-" 400 3437
205.210.31.34 - - [26/Jan/2024:04:07:08 +0000] "GET / HTTP/1.1" 200 3979
185.254.196.186 - - [26/Jan/2024:04:10:05 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.186 - - [26/Jan/2024:04:10:06 +0000] "POST / HTTP/1.1" 200 3979
209.126.83.157 - - [26/Jan/2024:04:31:09 +0000] "GET / HTTP/1.1" 200 3979
209.126.83.157 - - [26/Jan/2024:04:31:10 +0000] "GET /index.js HTTP/1.1" 404 759
209.126.83.157 - - [26/Jan/2024:04:31:10 +0000] "GET /index.json HTTP/1.1" 404 761
209.126.83.157 - - [26/Jan/2024:04:31:10 +0000] "GET /index.php HTTP/1.1" 404 760
209.126.83.157 - - [26/Jan/2024:04:31:10 +0000] "GET /index1.php HTTP/1.1" 404 761
209.126.83.157 - - [26/Jan/2024:04:31:10 +0000] "GET /.env HTTP/1.1" 404 755
209.126.83.157 - - [26/Jan/2024:04:31:11 +0000] "GET /env/.env HTTP/1.1" 404 763
209.126.83.157 - - [26/Jan/2024:04:31:11 +0000] "GET /.environment HTTP/1.1" 404 763
209.126.83.157 - - [26/Jan/2024:04:31:11 +0000] "GET /.envrc HTTP/1.1" 404 757
209.126.83.157 - - [26/Jan/2024:04:31:11 +0000] "GET /.envs HTTP/1.1" 404 756
209.126.83.157 - - [26/Jan/2024:04:31:11 +0000] "GET /.env.backup HTTP/1.1" 404 762
209.126.83.157 - - [26/Jan/2024:04:31:12 +0000] "GET /.env.bak HTTP/1.1" 404 759
209.126.83.157 - - [26/Jan/2024:04:31:12 +0000] "GET /.env.dev HTTP/1.1" 404 759
209.126.83.157 - - [26/Jan/2024:04:31:12 +0000] "GET /.env.development.local HTTP/1.1" 404 773
209.126.83.157 - - [26/Jan/2024:04:31:12 +0000] "GET /.env.dist HTTP/1.1" 404 760
209.126.83.157 - - [26/Jan/2024:04:31:12 +0000] "GET /.env.docker.dev HTTP/1.1" 404 766
209.126.83.157 - - [26/Jan/2024:04:31:12 +0000] "GET /.env.example HTTP/1.1" 404 763
209.126.83.157 - - [26/Jan/2024:04:31:13 +0000] "GET /.env.live HTTP/1.1" 404 760
209.126.83.157 - - [26/Jan/2024:04:31:13 +0000] "GET /.env.local HTTP/1.1" 404 761
209.126.83.157 - - [26/Jan/2024:04:31:13 +0000] "GET /.env.old HTTP/1.1" 404 759
209.126.83.157 - - [26/Jan/2024:04:31:13 +0000] "GET /.env.php HTTP/1.1" 404 759
209.126.83.157 - - [26/Jan/2024:04:31:13 +0000] "GET /.env.prod HTTP/1.1" 404 760
209.126.83.157 - - [26/Jan/2024:04:31:14 +0000] "GET /.env.production HTTP/1.1" 404 766
209.126.83.157 - - [26/Jan/2024:04:31:14 +0000] "GET /.env.production.local HTTP/1.1" 404 772
209.126.83.157 - - [26/Jan/2024:04:31:14 +0000] "GET /.env.sample.php HTTP/1.1" 404 766
209.126.83.157 - - [26/Jan/2024:04:31:14 +0000] "GET /.env.save HTTP/1.1" 404 760
209.126.83.157 - - [26/Jan/2024:04:31:14 +0000] "GET /.env.stage HTTP/1.1" 404 761
209.126.83.157 - - [26/Jan/2024:04:31:15 +0000] "GET /.env.staging HTTP/1.1" 404 763
209.126.83.157 - - [26/Jan/2024:04:31:15 +0000] "GET /.env.swp HTTP/1.1" 404 759
209.126.83.157 - - [26/Jan/2024:04:31:15 +0000] "GET /.env.test HTTP/1.1" 404 760
209.126.83.157 - - [26/Jan/2024:04:31:15 +0000] "GET /.env.test.local HTTP/1.1" 404 766
209.126.83.157 - - [26/Jan/2024:04:31:15 +0000] "GET /.env.test.localapi/.env HTTP/1.1" 404 778
209.126.83.157 - - [26/Jan/2024:04:31:16 +0000] "GET /.env.uat HTTP/1.1" 404 759
209.126.83.157 - - [26/Jan/2024:04:31:16 +0000] "GET /.env.www HTTP/1.1" 404 759
209.126.83.157 - - [26/Jan/2024:04:31:16 +0000] "GET null HTTP/1.1" 400 2017
209.126.83.157 - - [26/Jan/2024:04:31:16 +0000] "GET null HTTP/1.1" 400 2017
209.126.83.157 - - [26/Jan/2024:04:31:17 +0000] "GET /.env_1 HTTP/1.1" 404 757
209.126.83.157 - - [26/Jan/2024:04:31:17 +0000] "GET /.env_sample HTTP/1.1" 404 762
